second,Volt
+19.92187E-09,+4.40043262037216E+00
+20.00000E-09,+4.40043262037216E+00
+20.07812E-09,+4.40043262037216E+00
+20.15625E-09,+4.40043262037216E+00
+20.23437E-09,+4.40043262037216E+00
+20.31250E-09,+4.40043262037216E+00
+20.39062E-09,+4.40043262037216E+00
+20.46875E-09,+4.40043262037216E+00
+20.54687E-09,+4.40043262037216E+00
+20.62500E-09,+4.40043262037216E+00
+20.70312E-09,+4.40043262037216E+00
+20.78125E-09,+4.40043262037216E+00
+20.85937E-09,+4.40043262037216E+00
+20.93750E-09,+4.40043262037216E+00
+21.01562E-09,+4.40043262037216E+00
+21.09375E-09,+4.40043262037216E+00
+21.17187E-09,+4.40043262037216E+00
+21.25000E-09,+4.40043262037216E+00
+21.32812E-09,+4.40043262037216E+00
+21.40625E-09,+4.40043262037216E+00
+21.48437E-09,+4.40043262037216E+00
+21.56250E-09,+4.40043262037216E+00
+21.64062E-09,+4.40043262037216E+00
+21.71875E-09,+4.40043262037216E+00
+21.79687E-09,+4.40043262037216E+00
+21.87500E-09,+4.40043262037216E+00
+21.95312E-09,+4.40043262037216E+00
+22.03125E-09,+4.40043262037216E+00
+22.10937E-09,+4.40043262037216E+00
+22.18750E-09,+4.40043262037216E+00
+22.26562E-09,+4.40043262037216E+00
+22.34375E-09,+4.40043262037216E+00
+22.42187E-09,+4.40043262037216E+00
+22.50000E-09,+4.40043262037216E+00
+22.57812E-09,+4.40043262037216E+00
+22.65625E-09,+4.40043262037216E+00
+22.73437E-09,+4.40043262037216E+00
+22.81250E-09,+4.40043262037216E+00
+22.89062E-09,+4.40043262037216E+00
+22.96875E-09,+4.40043262037216E+00
+23.04687E-09,+4.40043262037216E+00
+23.12500E-09,+4.40043262037216E+00
+23.20312E-09,+4.40043262037216E+00
+23.28125E-09,+4.40043262037216E+00
+23.35937E-09,+4.40043262037216E+00
+23.43750E-09,+4.40043262037216E+00
+23.51562E-09,+4.40043262037216E+00
+23.59375E-09,+4.40043262037216E+00
+23.67187E-09,+4.40043262037216E+00
+23.75000E-09,+4.40043262037216E+00
+23.82812E-09,+4.40043262037216E+00
+23.90625E-09,+4.40043262037216E+00
+23.98437E-09,+4.40043262037216E+00
+24.06250E-09,+4.40043262037216E+00
+24.14062E-09,+4.40043262037216E+00
+24.21875E-09,+4.40043262037216E+00
+24.29687E-09,+4.40043262037216E+00
+24.37500E-09,+4.40043262037216E+00
+24.45312E-09,+4.40043262037216E+00
+24.53125E-09,+4.40043262037216E+00
+24.60937E-09,+4.40043262037216E+00
+24.68750E-09,+4.40043262037216E+00
+24.76562E-09,+4.40043262037216E+00
+24.84375E-09,+4.40043262037216E+00
+24.92187E-09,+4.40043262037216E+00
